document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,185,Mr Kapyanga (Mpika),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what the progress, in percentage terms, on the construction of the following secondary schools in Mpika District was, as of October, 2021: (i) Katibunga; and (ii) Kampamba; (b) what the cause of the delay in completing the works is; and (c) when the projects will be completed.",4
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,186,Ms M Phiri (Milanzi),Minister of Water Development and Sanitation,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how many boreholes were sunk in Milanzi Parliamentary Constituency from 2011 to 2021, year by year; (b) how many of the boreholes at (a) were functional as of September, 2021; (c) whether there are any plans to sink additional boreholes in the Constituency; (d) if so, when the plans will be implemented; and (e) if there are no such plans, why. __________________________",5
"Friday, 28th March, 2025",https://www.parliament.gov.zm/node/12291,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,275,Mr C Mpundu (Chembe),Minister of Energy,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 82),(a) why health facilities in Chembe Parliamentary Constituency are subjected to loadshedding by Zesco Limited despite the Presidential directive not to loadshedd health facilities; and (b) what urgent measures are being taken to ensure that the health facilities are not load shedded in order to prevent loss of life.,2
"Friday, 28th March, 2025",https://www.parliament.gov.zm/node/12291,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,276,Mr Mtayachalo (Chama North),Minister of Education,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 82),(a) why local applicants in each district were not prioritised during the 2025 Teacher Recruitment Exercise; (b) why the exercise was not decentralised to each district; and (c) whether local applicants in each district who were left out will be prioritised during the teacher replacement exercise.,3
"Tuesday, 19th July, 2022",https://www.parliament.gov.zm/node/10263,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,372,Mr Chanda (Kanchibiya),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) why the rehabilitation of the following roads in Kanchibiya Parliamentary Constituency has stalled: (i) Kasongo - Kabinga; and (ii) Chalabesa - Kopa; (b) when the projects will resume; and (c) what the cause of the delay in resuming the projects is.,4
"Tuesday, 19th July, 2022",https://www.parliament.gov.zm/node/10263,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,373,Mr Mandandi (Sioma),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a district hospital in Sioma District; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) what the estimated time frame for the completion of the project is.",4
"Tuesday, 19th July, 2022",https://www.parliament.gov.zm/node/10263,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,374,Mr Kang’ombe (Kamfinsa),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to tar the roads in the following townships in Kamfinsa Parliamentary Constituency: (i) Ndeke Presidential; (v) Mukuba Natwange; (ii) Robert; (vi) Chankalamo; (iii) Mulenga; (vii) Zamtan; and (iv) Zambia; (viii) Ndeke Village; (b) if so, when the plans will be implemented; and (c) what the estimated cost of the project is.",4
"Tuesday, 19th July, 2022",https://www.parliament.gov.zm/node/10263,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,375,Mr Miyutu (Kalabo Central),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what the five most prevalent types of cancer in women in Zambia, in order of prevalence, are; and (b) whether the diseases above are treatable in Zambia.",2
"Tuesday, 19th July, 2022",https://www.parliament.gov.zm/node/10263,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,376,Mr Mulunda (Siavonga),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) when the construction of the following infrastructure in Siavonga District will be completed: (i) district administration office block; (ii) civic centre; (iii) post office; (iv) police station; and (v) housing units; and (b) what the cause of the delay in completing the project is. QUESTION FOR WRITTEN ANSWER (STANDING ORDER 75) W9.  Mr Mabeta (Kankoyo)  -  to ask the Minister of Education: (a) how many teachers were recruited by the Teaching Service Commission from 2018 to 2021, year by year through: (i) general recruitment; and (ii) replacement; (b) how many teachers at (a) were on the payroll as of February, 2022; and (c) when the remaining teachers will be put on the payroll. NOTICE OF MOTION Mr B Mpundu Adopt Report of the Committee on National Economy, Trade and Labour Matters: That this House do adopt the Report of the Committee on National Economy, Trade and Labour Matters on the Report of the Auditor General on the Performance Audit of the Government Interventions on Micro, Small and Medium Enterprises in Zambia for the Period 2015 - 2020, for the First Session of the Thirteenth National Assembly, laid on the Table of the House on Wednesday, 13th July, 2022. __________________________",8
"Tuesday, 20th September, 2022",https://www.parliament.gov.zm/node/10358,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,24,Mr E Daka (Msanzala),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what the progress, in percentage terms, on the rehabilitation of the Petauke - Chief Sandwe - Chilongozi - Mfuwe road in Eastern Province was, as of February, 2022; (b) how much money was spent on the project, as of February, 2022; (c) what the cost of the outstanding works is; and (d) when the project will be completed.",4
"Tuesday, 20th September, 2022",https://www.parliament.gov.zm/node/10358,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,25,Mr Menyani Zulu (Nyimba),Minister of Technology and Science,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct communication towers in Chieftainess Mwape’s chiefdom in Nyimba District; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Tuesday, 20th September, 2022",https://www.parliament.gov.zm/node/10358,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,26,Ms Munashabantu (Mapatizya),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate the Kalomo-Mapatizya road, which is in a deplorable condition; (b) if so, when the plans will be implemented; and (c) when the road will be tarred. 27 Ms Nakaponda (Isoka) - to ask the Minister of Youth, Sport and Arts: (a) whether the Government has any plans to construct the following infrastructure in Isoka District: (i) a football stadium; (ii) a basket ball court; and (iii) a volleyball court; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",7
"Tuesday, 20th September, 2022",https://www.parliament.gov.zm/node/10358,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,28,Mr Mulunda (Siavonga),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a modern hospital in Siavonga District; (b) if so, when the plans will be implemented; and (c) if there no such plans, why. ORDER OF THE DAY 1. Thanks – His Excellency the President’s Address - Motion (13th September) - Resumption of Debate. ____________________________",3
"Wednesday, 24th July, 2019",https://www.parliament.gov.zm/node/8033,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,489,Mr Chaatila (Moomba),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to electrify the following schools in Moomba Parliamentary Constituency, under the Rural Electrification Programme: (i) Nkaba Primary; (ii) Bbwantu Primary; (iii) Nadongo Primary; (iv) Moomba Primary; and (v) Kayola Community; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",5
"Wednesday, 24th July, 2019",https://www.parliament.gov.zm/node/8033,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,490,Mr Ngambi (Chifubu),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the tarring of township roads under the C400 Project will commence in Chifubu Parliamentary Constituency; (b) whether there are any plans to expand Kwacha road, from Ndola Central Hospital roundabout to Chifubu Local Court, to four lanes; (c) who the contractor for the project is; (d) what the cost of the project is; (e) what the total number of kilometres to be tarred is; and (f) how many jobs for the local people will be created under the Project in the Constituency.",6
"Tuesday, 26th February, 2019",https://www.parliament.gov.zm/node/7890,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,264,Mr Kabanda (Serenje),"Minister of Water Development, Sanitation and Environmental Protection",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to sink boreholes in Serenje Parliamentary Constituency; (b) if so, when the plans will be implemented; (c) how many boreholes are earmarked for sinking; and (d) what the total cost of the project is. 265.  Dr Chanda (Bwana Mkubwa) - To ask the Minister of General Education: (a) whether the Government has any plans to upgrade some schools in the following Wards in Bwana Mkubwa Parliamentary Constituency to senior secondary school level: (i) Mushili; (ii) Kaloko; (iii) Katondo; (iv) Kavu; (v) Kamanya; (vi) Katombola; and (vii) Chichele; and (b) if so, when the plans will be implemented.",8
"Tuesday, 26th February, 2019",https://www.parliament.gov.zm/node/7890,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,266,Ms Mwape (Mkushi North),Minister of Home Affairs,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many police officers were recruited from 2015 to 2018, year by year; (b) when the next recruitment exercise will be undertaken; and (c) how many police officers will be recruited. 267 Mr Samakayi (Mwinilunga)   -  to ask the Minister of Lands and Natural Resources: (a) whether the Government has any plans to install border markers on the boundaries between Zambia and the Democratic Republic of Congo, and between Zambia and Angola to clearly identify the boundaries, especially in the following Districts: (i) Mwinilunga; and (ii) Ikeleng’i; (b) if so, when the plans will be implemented; (c) what type of border markers will be installed; (d) what the total cost of the project is; and (e) if there are no such plans, why.",9
"Tuesday, 26th February, 2019",https://www.parliament.gov.zm/node/7890,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,268,Mr S Miti (Feira),Minister of Finance,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the following institutions will be granted Treasury authority to recruit additional staff: (i) Luangwa District Hospital; (ii) Kaunga Secondary School; (iii) Kaluluzi Primary School; (iv) Kapoche Secondary School; (v) Kapoche Special School; (vi) Feira Day Secondary School; and (vii) Mangelengele Primary School; and (b) what has caused the delay in issuing the authority.,4
"Tuesday, 26th February, 2019",https://www.parliament.gov.zm/node/7890,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,269,Mr M Jere (Livingstone),Minister of Transport and Communication,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the former employees of the following companies, who retired in the period 1992 to 2000, will be paid their terminal benefits: (i) Zambia Railways Limited; (ii) Zambia Telecommunications Company Limited; and (iii) Zambia Postal Services Corporation; (b) what has caused the delay in paying the retirees; and (c) how many retirees are affected in each company.",4
"Tuesday, 26th February, 2019",https://www.parliament.gov.zm/node/7890,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,270,Mr Miyutu (Kalabo Central),Minister of Finance,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether there are any challenges in collecting the Skills Development Levy; (b) if not, why the amounts collected have been reducing each year from inception to-date; (c) which institutions benefitted from the Levy as of 30th September, 2018; and (d) whether there has been any negative impact on the companies that have been remitting the Levy.",4
"Tuesday, 26th February, 2019",https://www.parliament.gov.zm/node/7890,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,271,Mr Chabi (Chipili),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) what the total number of applicants that had paid for electricity connections in the following Provinces was as of 31st October, 2018: (i) Eastern; (ii) Muchinga; (iii) Northern; and (iv) Luapula; (b) when the connections to the applicants’ premises will commence; and (c) what the cause of the delay in connecting power, is.",4
